Customer ID,Age,Gender,City,Education,Occupation,Annual Income (₹),Join Date,Total Spend (₹),Purchase Frequency,Recency (days),Avg Order Value (₹),Satisfaction Score,Online Purchase Ratio,Discount Sensitivity,Loyalty Score,Sessions per Month,Cart Abandonment Rate,Preferred Channel,Payment Method,Top Category 1,Top Category 2,Returns Count,Referrals Made,Archetype
"CUST-00272",46,"Other","Ahmedabad","Diploma","Salesperson",67634,"2020-03-06",12201,36,3,447,4.9,0.57,0.39,641,63,0.3,"In-Store","UPI","Beauty","Electronics",3,6,"Loyal"
"CUST-00273",34,"Male","Coimbatore","Diploma","Freelancer",25096,"2022-07-24",770,9,41,110,3.2,0.79,0.86,363,19,0.53,"Website","Debit Card","Grocery","Sports",5,3,"Budget"
"CUST-00274",30,"Male","Chandigarh","Bachelor","Doctor",101703,"2023-06-26",2805,13,1,516,4.9,0.33,0.53,758,54,0.31,"Mobile App","EMI","Food Delivery","Health",4,5,"Loyal"
"CUST-00275",40,"Female","Delhi","Diploma","Business Owner",542824,"2022-11-22",58896,5,5,13072,4,0.6,0.26,715,4,0.07,"Mobile App","Net Banking","Fashion","Grocery",1,0,"Premium"
"CUST-00276",49,"Female","Bhopal","Master","Government Employee",59091,"2021-09-07",8772,7,259,2507,1.7,0.42,0.61,447,9,0.6,"In-Store","EMI","Food Delivery","Home Decor",5,0,"At-Risk"
"CUST-00277",30,"Female","Kolkata","Bachelor","Government Employee",146907,"2020-03-11",104108,2,8,14082,4.1,0.82,0.22,856,11,0.14,"Mobile App","Cash","Food Delivery","Electronics",1,2,"Premium"
"CUST-00278",31,"Other","Bhopal","Bachelor","Analyst",263794,"2021-10-28",67983,8,11,8574,4.1,0.65,0.23,993,11,0.12,"In-Store","Credit Card","Electronics","Travel",2,1,"Premium"
"CUST-00279",25,"Other","Bhopal","Bachelor","Engineer",99538,"2023-08-17",14434,29,5,571,3.9,0.52,0.37,852,27,0.1,"Social Media","Cash","Travel","Fashion",0,7,"Loyal"
"CUST-00280",39,"Female","Delhi","Diploma","Salesperson",44844,"2020-11-09",4405,2,36,1254,3.5,0.77,0.73,112,30,0.73,"In-Store","Cash","Grocery","Food Delivery",5,1,"Budget"
"CUST-00281",38,"Other","Chandigarh","Master","Manager",260321,"2020-06-26",45644,8,25,10982,4.6,0.59,0.2,778,2,0.08,"In-Store","Debit Card","Home Decor","Grocery",0,2,"Premium"
"CUST-00282",32,"Male","Kolkata","PhD","Engineer",19259,"2021-04-02",7452,8,78,983,2.5,0.63,0.93,233,23,0.79,"Word of Mouth","UPI","Travel","Sports",5,1,"Budget"
"CUST-00283",54,"Other","Jaipur","Master","Designer",233629,"2020-09-18",42724,10,8,7667,4.4,0.74,0.27,871,18,0.18,"Word of Mouth","UPI","Home Decor","Beauty",0,2,"Premium"
"CUST-00284",52,"Female","Chandigarh","PhD","Doctor",518547,"2023-09-28",51120,4,12,13932,4.2,0.57,0.2,925,13,0.07,"Social Media","Net Banking","Travel","Beauty",0,2,"Premium"
"CUST-00285",21,"Male","Mumbai","Master","Government Employee",37355,"2022-08-11",1492,3,121,538,3,0.92,0.89,322,11,0.54,"Mobile App","Credit Card","Fashion","Home Decor",5,1,"Budget"
"CUST-00286",29,"Other","Pune","Diploma","Student",26001,"2020-10-06",505,6,81,230,3.4,0.79,0.96,181,24,0.55,"Word of Mouth","EMI","Fashion","Grocery",2,2,"Budget"
"CUST-00287",44,"Male","Ahmedabad","Diploma","Business Owner",119563,"2021-07-26",3938,19,1,399,4.7,0.45,0.32,947,20,0.18,"Website","Credit Card","Sports","Books",5,6,"Loyal"
"CUST-00288",42,"Female","Surat","PhD","Manager",50053,"2023-07-12",24126,35,7,471,4.7,0.63,0.47,710,31,0.12,"Mobile App","Debit Card","Food Delivery","Beauty",4,6,"Loyal"
"CUST-00289",29,"Female","Surat","Master","Retired",87554,"2021-12-07",4914,35,5,220,4.8,0.37,0.56,748,66,0.23,"In-Store","Credit Card","Fashion","Electronics",2,0,"Loyal"
"CUST-00290",31,"Female","Mumbai","Diploma","Analyst",29931,"2021-06-26",1946,1,20,2968,3.7,0.72,0.76,301,31,0.62,"Social Media","EMI","Sports","Books",4,2,"Budget"
"CUST-00291",43,"Other","Indore","High School","Analyst",344887,"2020-09-23",65564,11,7,8349,4.5,0.77,0.21,821,3,0.13,"Website","Cash","Beauty","Home Decor",1,1,"Premium"
"CUST-00292",23,"Male","Ahmedabad","Bachelor","Salesperson",59972,"2022-09-25",11550,39,3,317,4.9,0.31,0.38,796,39,0.13,"Social Media","EMI","Electronics","Home Decor",3,0,"Loyal"
"CUST-00293",46,"Other","Bangalore","Master","Business Owner",186900,"2021-08-20",44907,6,22,7850,4.6,0.56,0.13,745,18,0.11,"Word of Mouth","Debit Card","Food Delivery","Grocery",1,0,"Premium"
"CUST-00294",42,"Female","Bhopal","PhD","Student",89785,"2023-05-11",5326,1,233,6133,1.7,0.36,0.68,270,7,0.42,"In-Store","EMI","Electronics","Health",1,1,"At-Risk"
"CUST-00295",45,"Female","Hyderabad","Master","Salesperson",117063,"2021-08-27",4673,25,8,561,4.6,0.44,0.6,635,43,0.18,"Email Campaign","Debit Card","Beauty","Electronics",0,3,"Loyal"
"CUST-00296",45,"Male","Mumbai","PhD","Freelancer",556576,"2022-04-17",37268,5,19,14588,5,0.51,0.15,840,1,0.14,"Email Campaign","UPI","Beauty","Grocery",0,3,"Premium"
"CUST-00297",36,"Male","Bangalore","High School","Student",487663,"2022-09-28",77098,6,16,7359,4.9,0.52,0.29,841,7,0.12,"Word of Mouth","Credit Card","Health","Books",0,1,"Premium"
"CUST-00298",26,"Female","Delhi","PhD","Designer",30942,"2021-08-16",2819,2,131,3949,3.2,0.98,0.98,258,20,0.49,"Word of Mouth","Credit Card","Books","Health",5,3,"Budget"
"CUST-00299",45,"Other","Mumbai","Master","Salesperson",264972,"2023-12-14",26458,1,33,11555,4.7,0.5,0.11,719,1,0.15,"Mobile App","EMI","Fashion","Health",0,3,"Premium"
"CUST-00300",27,"Male","Mumbai","Master","Doctor",26630,"2020-02-15",3045,4,76,1397,3.5,0.62,0.7,360,12,0.61,"Email Campaign","UPI","Home Decor","Beauty",0,3,"Budget"
"CUST-00301",54,"Male","Mumbai","High School","Manager",115553,"2023-11-14",6108,2,228,2791,2.4,0.46,0.54,218,4,0.5,"Website","Cash","Travel","Home Decor",4,2,"At-Risk"
"CUST-00302",49,"Female","Bhopal","PhD","Retired",115387,"2022-05-22",14812,14,1,908,3.9,0.6,0.47,640,21,0.27,"Mobile App","Cash","Electronics","Grocery",1,0,"Loyal"
"CUST-00303",31,"Male","Delhi","Master","Manager",30492,"2023-11-26",1196,1,21,2162,3.3,0.67,1,125,25,0.56,"Website","Credit Card","Grocery","Food Delivery",5,3,"Budget"
"CUST-00304",35,"Other","Mumbai","High School","Designer",52947,"2023-07-11",12663,6,143,2437,3,0.53,0.73,567,1,0.44,"Mobile App","Cash","Books","Beauty",1,2,"At-Risk"
"CUST-00305",40,"Male","Chandigarh","PhD","Doctor",48218,"2023-06-26",7656,2,145,8659,2.6,0.41,0.69,450,15,0.53,"Mobile App","Cash","Electronics","Health",4,3,"At-Risk"
"CUST-00306",33,"Female","Kolkata","Master","Analyst",109777,"2021-12-28",28598,33,2,607,4.8,0.36,0.57,896,41,0.11,"In-Store","Cash","Electronics","Sports",3,3,"Loyal"
"CUST-00307",31,"Female","Ahmedabad","Diploma","Student",20161,"2020-06-24",4087,6,91,787,2.7,1,0.84,168,28,0.45,"Mobile App","Net Banking","Sports","Food Delivery",4,1,"Budget"
"CUST-00308",19,"Male","Pune","Bachelor","Business Owner",24869,"2020-03-24",4025,1,25,2441,3,0.74,0.99,317,23,0.69,"Mobile App","EMI","Home Decor","Food Delivery",5,1,"Budget"
"CUST-00309",24,"Female","Indore","High School","Engineer",61593,"2022-04-12",4018,2,37,1694,2.7,0.65,0.88,318,27,0.41,"Email Campaign","UPI","Beauty","Home Decor",2,0,"Budget"
"CUST-00310",47,"Female","Pune","PhD","Government Employee",66942,"2022-02-27",2815,6,284,1269,2,0.57,0.41,521,1,0.66,"Email Campaign","Credit Card","Travel","Fashion",4,0,"At-Risk"
"CUST-00311",43,"Male","Bhopal","PhD","Analyst",627397,"2023-10-25",54830,11,5,8221,4.2,0.87,0.16,860,24,0.06,"Email Campaign","UPI","Grocery","Home Decor",0,3,"Premium"
"CUST-00312",33,"Other","Coimbatore","PhD","Student",92826,"2021-12-24",9127,28,5,219,4.8,0.47,0.59,607,44,0.12,"Mobile App","Debit Card","Beauty","Travel",1,0,"Loyal"
"CUST-00313",51,"Male","Bhopal","Master","Student",47676,"2023-01-05",3210,1,89,2570,1.7,0.54,0.6,453,1,0.62,"Mobile App","Cash","Electronics","Health",3,3,"At-Risk"
"CUST-00314",30,"Other","Ahmedabad","Bachelor","Analyst",84084,"2021-12-04",3673,2,127,1921,1.6,0.29,0.58,248,4,0.54,"Word of Mouth","Cash","Home Decor","Fashion",5,3,"At-Risk"
"CUST-00315",53,"Male","Coimbatore","Bachelor","Teacher",99290,"2021-08-02",8411,3,188,2873,2.8,0.46,0.61,352,2,0.49,"In-Store","Credit Card","Home Decor","Fashion",3,3,"At-Risk"
"CUST-00316",29,"Male","Pune","High School","Retired",82625,"2020-10-12",10653,39,3,265,4.9,0.31,0.44,887,57,0.21,"Social Media","Cash","Health","Beauty",3,4,"Loyal"
"CUST-00317",48,"Other","Hyderabad","Bachelor","Salesperson",65558,"2023-02-12",12434,32,7,572,4.2,0.68,0.32,801,45,0.33,"Social Media","Credit Card","Books","Health",2,2,"Loyal"
"CUST-00318",39,"Other","Jaipur","High School","Doctor",49144,"2021-09-17",10301,5,202,3439,3,0.48,0.44,216,1,0.35,"Email Campaign","UPI","Beauty","Travel",0,0,"At-Risk"
"CUST-00319",47,"Other","Kolkata","Bachelor","Government Employee",328495,"2021-09-10",30667,6,11,8597,4.2,0.87,0.25,910,11,0.1,"Word of Mouth","UPI","Food Delivery","Home Decor",2,1,"Premium"
"CUST-00320",43,"Other","Delhi","Diploma","Engineer",392237,"2020-03-01",48481,3,33,16155,4.5,0.58,0.12,946,14,0.12,"Mobile App","Debit Card","Books","Home Decor",1,3,"Premium"
"CUST-00321",41,"Male","Ahmedabad","PhD","Analyst",45887,"2023-04-15",10556,4,280,2644,2.5,0.43,0.59,394,6,0.41,"Mobile App","Net Banking","Home Decor","Books",4,2,"At-Risk"
"CUST-00322",46,"Other","Coimbatore","Master","Manager",51620,"2022-03-09",7740,21,3,377,4.1,0.57,0.59,634,56,0.17,"Word of Mouth","Credit Card","Books","Grocery",1,6,"Loyal"
"CUST-00323",64,"Other","Indore","Master","Business Owner",109716,"2023-03-18",11025,1,490,3402,2,0.47,0.49,584,3,0.36,"Mobile App","Debit Card","Travel","Home Decor",1,2,"At-Risk"
"CUST-00324",44,"Female","Bhopal","High School","Analyst",104244,"2022-08-24",14438,36,6,331,4.3,0.55,0.32,868,42,0.21,"Word of Mouth","UPI","Fashion","Electronics",5,3,"Loyal"
"CUST-00325",53,"Female","Chandigarh","Bachelor","Teacher",48037,"2021-03-10",3021,2,159,896,1.7,0.46,0.77,297,3,0.42,"Website","Net Banking","Books","Home Decor",3,2,"At-Risk"
"CUST-00326",51,"Other","Pune","High School","Engineer",70449,"2022-06-17",11311,25,3,441,4.4,0.41,0.48,692,25,0.13,"Website","Debit Card","Sports","Health",2,4,"Loyal"
"CUST-00327",35,"Other","Delhi","Diploma","Analyst",63645,"2020-04-23",9523,20,3,562,4.5,0.61,0.54,923,39,0.11,"Social Media","Debit Card","Electronics","Food Delivery",0,6,"Loyal"
"CUST-00328",36,"Male","Mumbai","PhD","Designer",131624,"2023-07-23",30279,41,13,485,4.9,0.43,0.45,678,52,0.28,"Word of Mouth","EMI","Home Decor","Travel",5,6,"Loyal"
"CUST-00329",58,"Female","Jaipur","High School","Manager",97687,"2023-12-12",5841,3,138,2872,2.1,0.53,0.75,428,3,0.64,"In-Store","Debit Card","Grocery","Fashion",0,0,"At-Risk"
"CUST-00330",40,"Female","Pune","High School","Government Employee",251272,"2023-10-13",20524,7,6,4536,4.7,0.5,0.17,906,11,0.09,"Website","Credit Card","Home Decor","Electronics",0,3,"Premium"
"CUST-00331",43,"Male","Delhi","PhD","Engineer",63897,"2022-08-10",7819,1,283,3416,2.9,0.47,0.64,480,1,0.53,"Website","Net Banking","Electronics","Home Decor",3,3,"At-Risk"
"CUST-00332",35,"Other","Jaipur","Bachelor","Salesperson",46154,"2023-12-06",6577,5,368,1367,2.8,0.31,0.56,277,3,0.43,"Website","EMI","Travel","Health",1,2,"At-Risk"
"CUST-00333",26,"Female","Pune","Bachelor","Student",20050,"2022-01-03",2152,1,45,3244,2.6,0.96,0.84,353,15,0.55,"Word of Mouth","UPI","Electronics","Grocery",3,3,"Budget"
"CUST-00334",41,"Female","Jaipur","Bachelor","Business Owner",45363,"2020-06-12",13053,1,219,5527,2.4,0.4,0.49,340,15,0.58,"Word of Mouth","Credit Card","Health","Books",3,1,"At-Risk"
"CUST-00335",29,"Male","Mumbai","Master","Salesperson",41682,"2022-12-07",13711,5,129,11408,3,0.42,0.76,557,15,0.59,"Word of Mouth","Cash","Grocery","Travel",4,2,"At-Risk"
"CUST-00336",29,"Other","Pune","Master","Teacher",601219,"2021-06-16",78648,9,18,12570,4.3,0.82,0.21,731,17,0.14,"Mobile App","Credit Card","Fashion","Sports",1,0,"Premium"
"CUST-00337",40,"Female","Bangalore","PhD","Engineer",548415,"2022-05-03",32941,10,6,4617,4.8,0.61,0.25,743,11,0.1,"In-Store","Cash","Travel","Food Delivery",2,2,"Premium"
"CUST-00338",37,"Male","Indore","Bachelor","Freelancer",73096,"2023-10-06",12588,26,5,476,4.4,0.49,0.39,836,35,0.28,"Word of Mouth","EMI","Fashion","Electronics",3,5,"Loyal"
"CUST-00339",39,"Female","Jaipur","Master","Freelancer",73162,"2022-11-19",9516,1,362,11021,2.6,0.21,0.49,411,8,0.3,"Social Media","Debit Card","Sports","Health",4,3,"At-Risk"
"CUST-00340",22,"Other","Mumbai","PhD","Analyst",16460,"2020-11-24",4086,6,22,665,3.1,0.83,0.72,235,9,0.59,"Social Media","Debit Card","Fashion","Food Delivery",5,1,"Budget"
"CUST-00341",49,"Female","Ahmedabad","PhD","Salesperson",49517,"2023-04-19",1374,1,79,1106,2.4,0.23,0.42,308,2,0.48,"Website","Net Banking","Food Delivery","Beauty",4,3,"At-Risk"
"CUST-00342",50,"Male","Chandigarh","Master","Engineer",536792,"2021-06-17",38791,5,34,4883,4.5,0.55,0.2,919,11,0.08,"Email Campaign","Debit Card","Travel","Grocery",0,3,"Premium"
"CUST-00343",25,"Other","Bhopal","High School","Engineer",37440,"2020-01-07",4277,1,42,957,3.2,0.85,0.73,339,13,0.42,"Email Campaign","EMI","Electronics","Fashion",2,0,"Budget"
"CUST-00344",33,"Other","Bhopal","Master","Business Owner",184844,"2023-10-08",10684,5,24,4933,4.2,0.6,0.11,811,15,0.2,"In-Store","Debit Card","Fashion","Health",1,2,"Premium"
"CUST-00345",35,"Other","Bhopal","Diploma","Designer",85478,"2021-07-03",5447,1,101,7360,1.8,0.3,0.53,412,1,0.37,"In-Store","EMI","Fashion","Travel",1,2,"At-Risk"
"CUST-00346",49,"Male","Bangalore","PhD","Teacher",155060,"2020-10-24",54206,6,12,8135,4.9,0.84,0.2,701,18,0.19,"Mobile App","Debit Card","Travel","Books",2,3,"Premium"
"CUST-00347",35,"Other","Coimbatore","Diploma","Freelancer",15948,"2021-10-26",1584,10,132,434,3.5,0.99,0.77,175,15,0.59,"Word of Mouth","EMI","Health","Grocery",1,0,"Budget"
"CUST-00348",37,"Male","Jaipur","Master","Government Employee",45587,"2021-08-09",10476,36,2,304,4.1,0.65,0.36,943,49,0.35,"In-Store","Credit Card","Health","Food Delivery",3,0,"Loyal"
"CUST-00349",34,"Female","Chennai","Diploma","Retired",102944,"2020-11-10",7781,27,9,156,4.8,0.48,0.36,900,57,0.32,"Social Media","EMI","Electronics","Travel",1,5,"Loyal"
"CUST-00350",31,"Male","Jaipur","Master","Engineer",31596,"2020-03-18",910,7,65,202,3,0.84,0.76,365,23,0.49,"Website","Cash","Health","Books",5,3,"Budget"
"CUST-00351",30,"Male","Jaipur","PhD","Engineer",22764,"2022-04-05",4472,1,15,1568,3.1,0.73,0.95,237,16,0.51,"Website","Net Banking","Electronics","Home Decor",0,2,"Budget"
"CUST-00352",48,"Other","Chandigarh","Diploma","Teacher",230098,"2023-12-03",54241,4,14,9525,4.6,0.54,0.23,929,18,0.06,"Social Media","EMI","Food Delivery","Travel",0,2,"Premium"
"CUST-00353",54,"Female","Ahmedabad","High School","Doctor",71234,"2023-09-11",8700,3,243,2071,1.7,0.4,0.52,573,10,0.51,"Word of Mouth","EMI","Beauty","Fashion",3,3,"At-Risk"
"CUST-00354",41,"Female","Kolkata","Master","Teacher",155612,"2021-08-11",17210,5,33,3755,4.2,0.75,0.17,824,14,0.12,"Word of Mouth","UPI","Health","Fashion",0,3,"Premium"
"CUST-00355",49,"Other","Surat","Bachelor","Government Employee",267840,"2020-09-03",49658,1,12,12014,4,0.55,0.12,707,17,0.1,"Email Campaign","Net Banking","Home Decor","Grocery",2,2,"Premium"
"CUST-00356",44,"Male","Surat","High School","Government Employee",89172,"2022-05-19",4433,6,144,1377,1.9,0.51,0.77,560,10,0.35,"Word of Mouth","Cash","Electronics","Fashion",1,2,"At-Risk"
"CUST-00357",36,"Female","Indore","High School","Business Owner",75714,"2023-05-21",8907,19,3,608,3.9,0.43,0.31,895,44,0.1,"Email Campaign","UPI","Food Delivery","Grocery",1,2,"Loyal"
"CUST-00358",39,"Male","Mumbai","Diploma","Salesperson",159246,"2020-09-10",55000,2,2,14038,4,0.62,0.2,816,9,0.06,"Website","UPI","Fashion","Electronics",2,3,"Premium"
"CUST-00359",43,"Female","Ahmedabad","Diploma","Salesperson",82777,"2023-04-02",3579,5,83,926,3.1,0.3,0.6,286,4,0.6,"Social Media","EMI","Travel","Home Decor",4,1,"At-Risk"
"CUST-00360",36,"Other","Chandigarh","High School","Teacher",426771,"2020-04-21",28468,5,2,18241,4.4,0.75,0.22,805,7,0.14,"Word of Mouth","Cash","Sports","Fashion",0,3,"Premium"
"CUST-00361",48,"Other","Ahmedabad","Master","Business Owner",261898,"2021-12-10",28297,7,6,8428,5,0.58,0.24,936,16,0.06,"Mobile App","Cash","Grocery","Fashion",2,0,"Premium"
"CUST-00362",46,"Male","Lucknow","High School","Student",379603,"2023-11-05",69363,2,12,26503,4.4,0.89,0.2,897,11,0.18,"In-Store","Credit Card","Travel","Health",0,0,"Premium"
"CUST-00363",37,"Male","Coimbatore","Bachelor","Teacher",74060,"2021-04-11",9277,1,118,2190,2.6,0.26,0.77,600,4,0.43,"Social Media","Net Banking","Books","Travel",2,2,"At-Risk"
"CUST-00364",54,"Other","Chandigarh","Diploma","Teacher",314159,"2022-01-25",46795,5,12,6680,4.3,0.69,0.18,949,19,0.16,"Email Campaign","Debit Card","Sports","Fashion",2,3,"Premium"
"CUST-00365",62,"Female","Bangalore","PhD","Freelancer",89892,"2020-10-01",7744,1,269,5903,2.1,0.57,0.54,579,8,0.66,"In-Store","UPI","Travel","Grocery",0,3,"At-Risk"
"CUST-00366",28,"Female","Pune","High School","Doctor",70417,"2022-02-14",7573,4,342,3469,2.2,0.25,0.74,383,9,0.46,"In-Store","Net Banking","Books","Health",1,1,"At-Risk"
"CUST-00367",36,"Other","Coimbatore","PhD","Doctor",74682,"2022-09-14",12957,19,13,377,4.3,0.4,0.37,894,49,0.16,"Website","Cash","Fashion","Electronics",0,3,"Loyal"
"CUST-00368",39,"Female","Mumbai","High School","Engineer",89199,"2020-04-02",2112,4,469,2697,2.7,0.51,0.63,274,18,0.3,"Mobile App","UPI","Travel","Grocery",3,2,"At-Risk"
"CUST-00369",31,"Female","Hyderabad","Master","Designer",22398,"2022-04-02",1461,5,46,362,3.3,0.92,0.72,290,24,0.46,"Word of Mouth","Debit Card","Fashion","Beauty",3,1,"Budget"
"CUST-00370",37,"Male","Chennai","Bachelor","Teacher",60673,"2021-07-04",5863,32,2,185,3.9,0.44,0.53,688,41,0.32,"Email Campaign","Debit Card","Grocery","Food Delivery",4,4,"Loyal"
"CUST-00371",53,"Female","Indore","Bachelor","Salesperson",51893,"2023-07-28",11364,7,346,5279,2.5,0.43,0.66,471,1,0.64,"Word of Mouth","Net Banking","Beauty","Sports",2,2,"At-Risk"
"CUST-00372",57,"Female","Bhopal","Bachelor","Manager",66783,"2023-04-23",4896,2,36,1441,3,0.3,0.66,532,6,0.3,"Email Campaign","Cash","Beauty","Food Delivery",4,1,"At-Risk"
"CUST-00373",39,"Male","Coimbatore","PhD","Teacher",339997,"2021-04-26",19431,7,22,5195,4.9,0.89,0.26,824,12,0.09,"In-Store","EMI","Grocery","Sports",2,1,"Premium"
"CUST-00374",19,"Other","Chennai","Diploma","Designer",39859,"2021-11-19",4043,1,77,927,3.8,0.9,0.82,245,34,0.59,"Word of Mouth","Debit Card","Food Delivery","Health",2,1,"Budget"
"CUST-00375",29,"Male","Jaipur","High School","Doctor",323374,"2021-04-12",50980,5,20,6852,4.2,0.84,0.17,926,19,0.1,"Social Media","Credit Card","Sports","Beauty",0,2,"Premium"
"CUST-00376",63,"Other","Ahmedabad","PhD","Salesperson",109075,"2021-06-19",12352,2,225,11657,3,0.31,0.54,544,1,0.37,"In-Store","UPI","Health","Beauty",5,3,"At-Risk"
"CUST-00377",21,"Other","Bangalore","High School","Business Owner",31062,"2023-11-28",797,3,67,1174,3.8,0.85,0.83,341,15,0.59,"Social Media","Cash","Books","Electronics",5,3,"Budget"
"CUST-00378",38,"Other","Pune","PhD","Retired",384645,"2023-11-22",38366,1,34,20437,4.9,0.64,0.2,700,17,0.18,"Mobile App","Cash","Books","Beauty",2,3,"Premium"
"CUST-00379",29,"Male","Coimbatore","Diploma","Analyst",32522,"2023-10-21",969,2,87,276,2.6,0.73,0.85,210,4,0.53,"Word of Mouth","EMI","Grocery","Health",3,0,"Budget"
"CUST-00380",39,"Male","Delhi","High School","Analyst",78377,"2020-05-23",13088,2,156,2536,2.2,0.57,0.75,364,12,0.59,"Mobile App","EMI","Travel","Health",0,3,"At-Risk"
"CUST-00381",43,"Female","Ahmedabad","Bachelor","Doctor",62272,"2021-10-02",22959,24,9,755,4.7,0.68,0.49,796,47,0.28,"Website","EMI","Health","Sports",0,5,"Loyal"
"CUST-00382",34,"Male","Lucknow","High School","Business Owner",82929,"2021-08-15",14613,35,1,431,4.7,0.47,0.35,930,60,0.26,"Word of Mouth","UPI","Sports","Electronics",1,2,"Loyal"
"CUST-00383",47,"Other","Kolkata","PhD","Freelancer",91213,"2020-01-13",2464,2,228,1077,2,0.22,0.58,511,1,0.34,"Website","UPI","Sports","Grocery",2,1,"At-Risk"
"CUST-00384",49,"Female","Lucknow","Master","Designer",51856,"2023-06-09",22125,31,8,598,4.9,0.42,0.41,613,45,0.22,"Mobile App","UPI","Health","Grocery",1,3,"Loyal"
"CUST-00385",24,"Male","Pune","High School","Doctor",22506,"2022-07-22",348,6,72,146,3.4,0.9,0.88,178,22,0.67,"In-Store","Cash","Travel","Electronics",3,0,"Budget"
"CUST-00386",46,"Male","Chennai","High School","Manager",50139,"2020-11-17",6733,35,5,158,4.3,0.62,0.32,914,27,0.12,"Website","Net Banking","Health","Beauty",0,6,"Loyal"
"CUST-00387",50,"Other","Surat","Diploma","Government Employee",60362,"2023-06-03",11945,1,250,5727,2.9,0.32,0.72,575,5,0.64,"Social Media","Net Banking","Beauty","Electronics",0,0,"At-Risk"
"CUST-00388",47,"Other","Delhi","Diploma","Designer",306500,"2020-06-06",36219,8,32,6601,4.1,0.72,0.13,767,16,0.19,"Website","Credit Card","Books","Grocery",2,1,"Premium"
"CUST-00389",64,"Female","Hyderabad","PhD","Manager",47236,"2022-08-27",5888,8,276,3704,2.8,0.57,0.56,291,1,0.65,"Social Media","Net Banking","Beauty","Health",5,3,"At-Risk"
"CUST-00390",34,"Female","Ahmedabad","PhD","Manager",28147,"2022-05-24",3497,1,25,1264,3.5,0.98,0.73,203,13,0.42,"Website","Credit Card","Health","Food Delivery",4,3,"Budget"
"CUST-00391",31,"Male","Bangalore","Diploma","Doctor",16192,"2022-12-26",4494,1,102,1989,3.3,0.91,0.9,242,8,0.49,"Mobile App","Net Banking","Home Decor","Fashion",4,2,"Budget"
"CUST-00392",23,"Male","Delhi","Diploma","Freelancer",19356,"2022-05-09",5182,8,42,900,2.6,0.77,0.92,121,12,0.78,"Word of Mouth","Debit Card","Home Decor","Travel",3,2,"Budget"
"CUST-00393",59,"Male","Ahmedabad","Bachelor","Teacher",98343,"2021-03-16",9485,1,291,2591,3.1,0.5,0.56,279,10,0.63,"Website","Cash","Books","Home Decor",2,0,"At-Risk"
"CUST-00394",48,"Female","Jaipur","Master","Manager",263864,"2022-10-17",42292,4,11,6939,4.5,0.68,0.28,919,24,0.16,"Social Media","Cash","Books","Sports",0,1,"Premium"
"CUST-00395",27,"Female","Ahmedabad","Bachelor","Manager",206613,"2022-09-10",83769,10,7,9261,4.5,0.61,0.27,926,17,0.18,"Word of Mouth","Debit Card","Electronics","Travel",2,2,"Premium"
"CUST-00396",25,"Other","Surat","Master","Salesperson",410871,"2022-03-13",36091,6,4,6834,4.1,0.86,0.13,986,15,0.08,"In-Store","Debit Card","Food Delivery","Home Decor",0,0,"Premium"
"CUST-00397",36,"Female","Lucknow","Bachelor","Business Owner",66397,"2022-05-10",3073,9,250,2045,3.1,0.25,0.65,408,3,0.42,"Email Campaign","UPI","Sports","Grocery",3,0,"At-Risk"
"CUST-00398",41,"Other","Chandigarh","Master","Teacher",34069,"2021-12-15",10805,1,190,10944,2,0.56,0.42,222,11,0.34,"Email Campaign","UPI","Food Delivery","Travel",4,3,"At-Risk"
"CUST-00399",47,"Female","Ahmedabad","PhD","Teacher",234213,"2021-01-09",13232,4,26,7219,4.2,0.75,0.16,893,17,0.08,"In-Store","Cash","Travel","Sports",0,0,"Premium"
"CUST-00400",38,"Female","Bhopal","Diploma","Retired",152249,"2022-06-24",12060,30,8,546,4.7,0.6,0.53,619,16,0.26,"Email Campaign","Credit Card","Food Delivery","Electronics",5,0,"Loyal"
"CUST-00401",48,"Male","Jaipur","PhD","Doctor",16828,"2021-11-15",975,1,75,201,2.7,0.91,0.73,360,21,0.48,"Website","Cash","Grocery","Sports",3,1,"Budget"
"CUST-00402",23,"Other","Bhopal","PhD","Student",28942,"2021-04-05",1396,1,37,323,3,0.72,0.78,379,17,0.4,"Email Campaign","UPI","Travel","Fashion",0,2,"Budget"
"CUST-00403",18,"Female","Hyderabad","Diploma","Government Employee",27296,"2023-09-06",3130,2,50,1211,3.7,0.84,0.89,215,26,0.77,"Website","EMI","Food Delivery","Home Decor",5,1,"Budget"
"CUST-00404",38,"Other","Surat","Bachelor","Government Employee",85977,"2020-03-13",10363,18,1,764,4,0.34,0.31,857,34,0.25,"Mobile App","Net Banking","Travel","Sports",2,0,"Loyal"
"CUST-00405",30,"Female","Mumbai","High School","Teacher",14517,"2023-08-12",3081,1,50,1402,3.5,0.9,0.78,182,9,0.5,"Word of Mouth","Cash","Books","Electronics",4,3,"Budget"
"CUST-00406",36,"Female","Lucknow","High School","Designer",29103,"2022-06-15",1973,6,62,685,3.6,0.92,0.95,203,20,0.41,"Mobile App","Net Banking","Sports","Health",3,3,"Budget"
"CUST-00407",18,"Male","Surat","PhD","Business Owner",22298,"2022-05-27",6084,3,118,1481,2.9,0.7,0.93,128,28,0.79,"Website","Net Banking","Books","Food Delivery",2,0,"Budget"
